Days_since_last_order,Frequence_achat,Panier_moyen
124,1,106.95
124,1,497.25
124,1,33.23
124,1,73.1
124,1,14.29
124,1,74.21
124,1,93.75
124,1,178.25
124,1,119.42
124,1,510.96
124,1,61.29
125,1,120.93
125,2,146.526
125,1,712.9
125,1,185.82
125,1,126.63
125,1,260.5
125,1,14.89
125,1,22.29
125,1,38.36
125,1,47.44
125,1,216.58
125,3,132.8725
125,1,37.37
125,1,66.03
125,1,189.32
125,1,37.26
125,1,19.39
125,1,160.12
125,1,98.04
125,1,65.53
125,1,38.37
125,1,188.13
125,1,26.38
125,1,87.79
125,1,27.29
125,2,32.230000000000004
125,1,128.99
125,1,259.81
125,1,66.67
125,1,22.38
125,1,75.46
125,1,82.14
125,1,111.62
125,1,67.58
125,1,22.29
125,1,161.97
125,1,58.36
125,1,21.89
125,1,49.45
126,1,44.28
126,1,39.46
126,1,27.46
126,1,37.46
126,1,31.18
126,1,73.17
126,1,192.28
126,1,45.91
126,1,45.32
126,1,180.99
126,1,87.62
126,2,76.56
126,1,33.34
126,1,109.21
126,1,58.85
126,1,61.27
126,1,138.97
126,1,56.599999999999994
126,1,93.86
126,1,47.44
126,1,71.01
126,1,71.18
126,1,78.03
126,1,369.54
126,1,26.29
126,1,59.0
126,1,107.92
126,1,175.41
126,1,89.9
126,1,35.42
126,1,55.6
126,1,53.48
126,1,301.8
126,1,71.08
126,1,118.81
126,1,69.33
126,1,28.2
126,1,107.09
126,1,41.52
126,1,41.5
126,1,27.6
126,1,20.27
126,1,37.46
126,1,545.51
126,1,23.29
126,1,106.93
126,1,209.32
126,2,108.01666666666667
126,1,100.86
126,1,68.43
126,3,29.423333333333332
126,1,32.43
126,1,61.36
126,1,57.1
126,1,51.2
126,1,33.33
126,1,46.52
126,1,98.26
126,1,67.18
126,1,384.79
126,1,103.83
126,1,34.33
126,1,207.6
126,1,53.37
126,1,94.66
126,1,59.38
127,1,48.31
127,1,110.33
127,1,95.26
127,1,165.14
127,1,50.45
127,1,26.38
127,1,16.36
127,1,67.58
127,1,22.39
127,1,26.38
127,1,28.22
127,1,35.24
127,1,43.41
127,1,137.16
127,1,319.89
127,2,279.6333333333334
127,1,308.35
127,1,94.66
127,1,81.37
127,1,51.6
127,1,104.34
127,1,37.37
127,1,239.16
127,1,96.68
127,1,66.57
127,1,87.88
127,2,188.89
127,1,201.82
127,1,16.38
127,1,234.84
127,1,172.14
127,1,158.97
127,1,33.71
127,1,120.53
127,1,139.41
127,1,130.56
127,1,86.15
127,1,137.63
127,1,98.33
127,1,22.29
127,1,52.76
127,1,94.63
127,1,35.36
127,1,182.06
127,1,33.71
127,1,82.75
127,1,236.46
127,1,57.99
127,1,1312.67
127,1,25.79
127,1,143.21
127,1,98.26
127,1,207.49
127,1,95.76
127,1,120.68
127,1,105.26
127,1,30.83
127,1,77.51
127,1,211.88
127,1,78.22
127,1,111.7
127,1,39.15
127,1,189.37
127,1,49.56
127,1,167.86
127,1,30.13
127,1,127.99
127,1,99.16
127,1,98.26
127,1,120.81
127,1,118.35
127,1,347.41
127,1,82.68
128,1,26.29
128,1,94.66
128,1,52.76
128,1,112.42
128,1,17.39
128,1,265.64
128,1,124.09
128,1,53.12
128,1,87.32
128,1,2328.4
128,2,72.235
128,1,144.21
128,1,32.33
128,1,494.1
128,1,115.81
128,1,36.13
128,1,42.07
128,1,48.21
128,1,129.49
128,1,30.13
128,1,45.3
128,1,1024.76
128,1,50.22
128,1,20.38
128,1,62.54
128,1,75.6
128,1,318.3
128,1,96.77
128,1,106.95
128,1,46.58
128,1,107.09
128,1,459.34
128,1,82.06
128,1,108.36
128,1,258.9
128,1,413.58
128,1,23.28
128,1,9.59
128,1,30.41
128,1,95.72
128,1,403.25
128,1,154.22
128,1,39.15
128,1,70.89
128,1,124.83
128,1,52.76
128,1,514.37
128,1,118.35
128,1,489.9
128,1,336.83
128,1,42.86
128,1,106.93
128,1,154.78
128,1,58.28
128,1,50.46
128,1,60.42
128,1,38.37
128,2,233.79
128,1,169.3
128,1,155.01
128,1,60.41
